tag,step,value
Episode_Reward/track_linear_velocity,205,0.02887856774032116
Episode_Reward/track_linear_velocity,206,0.028927523642778397
Episode_Reward/track_linear_velocity,207,0.032930146902799606
Episode_Reward/track_linear_velocity,208,0.032742224633693695
Episode_Reward/track_linear_velocity,209,0.0326894111931324
Episode_Reward/track_linear_velocity,210,0.035405926406383514
Episode_Reward/track_linear_velocity,211,0.03251159191131592
Episode_Reward/track_linear_velocity,212,0.03336113691329956
Episode_Reward/track_linear_velocity,213,0.03541742265224457
Episode_Reward/track_linear_velocity,214,0.036004338413476944
Episode_Reward/track_linear_velocity,215,0.037248775362968445
Episode_Reward/track_linear_velocity,216,0.03598688915371895
Episode_Reward/track_linear_velocity,217,0.03680666536092758
Episode_Reward/track_linear_velocity,218,0.03692059591412544
Episode_Reward/track_linear_velocity,219,0.037583302706480026
Episode_Reward/track_linear_velocity,220,0.03832235559821129
Episode_Reward/track_linear_velocity,221,0.03950325399637222
Episode_Reward/track_linear_velocity,222,0.0401332788169384
Episode_Reward/track_linear_velocity,223,0.04163308069109917
Episode_Reward/track_linear_velocity,224,0.03968342766165733
Episode_Reward/track_linear_velocity,225,0.04263398051261902
Episode_Reward/track_linear_velocity,226,0.042290911078453064
Episode_Reward/track_linear_velocity,227,0.0405270978808403
Episode_Reward/track_linear_velocity,228,0.04031169414520264
Episode_Reward/track_linear_velocity,229,0.041181158274412155
Episode_Reward/track_linear_velocity,230,0.04350998252630234
Episode_Reward/track_linear_velocity,231,0.04287334531545639
Episode_Reward/track_linear_velocity,232,0.04447278380393982
Episode_Reward/track_linear_velocity,233,0.041945695877075195
Episode_Reward/track_linear_velocity,234,0.042177021503448486
Episode_Reward/track_linear_velocity,235,0.043984100222587585
Episode_Reward/track_linear_velocity,236,0.043040867894887924
Episode_Reward/track_linear_velocity,237,0.04349522292613983
Episode_Reward/track_linear_velocity,238,0.04569225758314133
Episode_Reward/track_linear_velocity,239,0.04433680325746536
Episode_Reward/track_linear_velocity,240,0.04585954174399376
Episode_Reward/track_linear_velocity,241,0.04688525199890137
Episode_Reward/track_linear_velocity,242,0.04673071950674057
Episode_Reward/track_linear_velocity,243,0.046634577214717865
Episode_Reward/track_linear_velocity,244,0.0472262017428875
Episode_Reward/track_linear_velocity,245,0.04775280877947807
Episode_Reward/track_linear_velocity,246,0.04643947631120682
Episode_Reward/track_linear_velocity,247,0.04893994331359863
Episode_Reward/track_linear_velocity,248,0.044716499745845795
Episode_Reward/track_linear_velocity,249,0.04665835201740265
Episode_Reward/track_linear_velocity,250,0.04995311424136162
Episode_Reward/track_linear_velocity,251,0.04613904282450676
Episode_Reward/track_linear_velocity,252,0.04703877493739128
Episode_Reward/track_linear_velocity,253,0.04765012860298157
Episode_Reward/track_linear_velocity,254,0.049435537308454514
Episode_Reward/track_linear_velocity,255,0.05104663968086243
Episode_Reward/track_linear_velocity,256,0.04600588604807854
Episode_Reward/track_linear_velocity,257,0.04849908873438835
Episode_Reward/track_linear_velocity,258,0.04838351532816887
Episode_Reward/track_linear_velocity,259,0.04939262196421623
Episode_Reward/track_linear_velocity,260,0.0514206700026989
Episode_Reward/track_linear_velocity,261,0.054399244487285614
Episode_Reward/track_linear_velocity,262,0.05199126526713371
Episode_Reward/track_linear_velocity,263,0.05267774313688278
Episode_Reward/track_linear_velocity,264,0.05402236804366112
Episode_Reward/track_linear_velocity,265,0.051986269652843475
Episode_Reward/track_linear_velocity,266,0.05468536168336868
Episode_Reward/track_linear_velocity,267,0.05294062942266464
Episode_Reward/track_linear_velocity,268,0.05439532548189163
Episode_Reward/track_linear_velocity,269,0.05105137079954147
Episode_Reward/track_linear_velocity,270,0.054786115884780884
Episode_Reward/track_linear_velocity,271,0.05359737202525139
Episode_Reward/track_linear_velocity,272,0.053983062505722046
Episode_Reward/track_linear_velocity,273,0.052027419209480286
Episode_Reward/track_linear_velocity,274,0.052479155361652374
